tau,0.498,0.874,0.992,1.0,n0s0
0.0,-6.5681,-10.4397,-13.897,-15.8938,-3.4
0.0005,-7.3088,-9.8898,-12.9503,-12.7328,
0.001,-5.3917,-8.3116,-12.11,-11.1918,
0.002,-6.0284,-8.6812,-11.9369,-11.6294,
0.003,-5.3641,-7.5088,-10.0637,-10.0558,
