bw,N0S0,N0Spi,NpiS0
5.0,-2.332587983045934,-18.76037524850476,-18.76037524850476
10.0,-2.3494288927354674,-18.980232180103766,-18.980232180103766
25.0,-2.465065822743575,-19.224849864671814,-19.224849864671814
50.0,-2.8484867253523385,-19.655272766380566,-19.655272766380566
100.0,-4.037815546560916,-20.869549033723317,-20.869549033723317
250.0,-7.367529726873073,-24.20766304695368,-24.20766304695368
500.0,-10.358916972391981,-27.199246639873806,-27.199246639873806
1000.0,-13.368896277078159,-30.209220949294643,-30.209220949294643
