tau,0.498,0.874,0.992,1.0,n0s0
0.0,-6.620213928750274,-10.168550858752068,-12.891869883972793,-13.162274780980571,-3.1611227617878566
4.1666666666666665e-05,-6.620159473425984,-10.168260753826491,-12.89122630021318,-13.161585345458652,
8.333333333333333e-05,-6.61999837651888,-10.167392584450655,-12.889301103190597,-13.159521510574503,
0.000125,-6.619734793097825,-10.165947374553896,-12.8860820359606,-13.156059167535973,
0.00016666666666666666,-6.619358451776838,-10.163924547213972,-12.881591480236835,-13.151224531438055,
0.00020833333333333332,-6.618876720994306,-10.16132560451691,-12.87582152786166,-13.1450301623074,
0.00025,-6.618277902527692,-10.158148177220669,-12.868782072480972,-13.137465891101488,
0.00029166666666666664,-6.617595007457958,-10.154405174588494,-12.860474992308916,-13.128545325526241,
0.0003333333333333333,-6.61679474423692,-10.150098066363764,-12.850912010267827,-13.11827262100609,
0.000375,-6.615888395588383,-10.145214051003322,-12.840113945413476,-13.106674489883428,
0.00041666666666666664,-6.614863322742028,-10.139749558242258,-12.828075550519877,-13.093740647056578,
0.0004583333333333333,-6.613756758031127,-10.13373458889813,-12.814810445268549,-13.079507257480376,
0.0005,-6.6125321631016085,-10.127158875184325,-12.800336402687254,-13.063972140979898,
0.0005416666666666666,-6.611203277366771,-10.12002626896175,-12.784665499997537,-13.047156536258218,
0.0005833333333333333,-6.609770214104499,-10.112348286863092,-12.767832858313389,-13.029078179755393,
0.000625,-6.608233456874908,-10.10411030098675,-12.74979402442106,-13.00975488097459,
0.0006666666666666666,-6.606588458494887,-10.095333131819986,-12.730625722518331,-12.989203517853756,
0.0007083333333333333,-6.604840730331824,-10.086016227079673,-12.710327133185494,-12.967452850867257,
0.00075,-6.602990958135784,-10.076163154962162,-12.688913946538797,-12.944507494088985,
0.0007916666666666666,-6.60103824752167,-10.065782840282719,-12.66642148945028,-12.92040087082796,
0.0008333333333333333,-6.598980088298699,-10.054876760275487,-12.642828822992296,-12.895162446952092,
0.000875,-6.5968221550876525,-10.043451795868833,-12.618195178615771,-12.868792559904334,
0.0009166666666666666,-6.594560597720058,-10.031513631724692,-12.592533297470695,-12.84133622616726,
0.0009583333333333333,-6.59219966485543,-10.019073324518196,-12.565861966449429,-12.812817701342178,
0.001,-6.589735274797411,-10.006122232540378,-12.5382036685893,-12.783246477638382,
0.0010416666666666667,-6.587173906626079,-9.992681613888433,-12.509582236464325,-12.752662672094404,
0.0010833333333333333,-6.584509117442071,-9.978753439787301,-12.48001929047975,-12.721088730570075,
0.001125,-6.581749250310626,-9.964343008836195,-12.449541257115955,-12.688551328284666,
0.0011666666666666665,-6.578888977380916,-9.94946605902466,-12.418171390602797,-12.655080362546965,
0.0012083333333333334,-6.575937332936002,-9.934120702401692,-12.385932348060276,-12.620694970618281,
0.00125,-6.572874448151841,-9.91830198278267,-12.352860927463583,-12.58543002994164,
0.0012916666666666667,-6.569726130357065,-9.902045703004235,-12.318957042449004,-12.549310643438174,
0.0013333333333333333,-6.566472216152331,-9.885331762389848,-12.284267078111137,-12.512367180182164,
0.001375,-6.563126368978718,-9.86818771992731,-12.248811096775064,-12.474621408495281,
0.0014166666666666666,-6.559688880798857,-9.85062228820977,-12.212608253140889,-12.436107136442022,
0.0014583333333333332,-6.5561583915554165,-9.832622668790956,-12.175702764618489,-12.39685062908377,
0.0015,-6.552532537790813,-9.814217016227554,-12.138087885131164,-12.356878575570981,
0.0015416666666666667,-6.5488156937604804,-9.795408487034788,-12.0998115986586,-12.31621982137832,
0.0015833333333333333,-6.545005815986832,-9.77620039335231,-12.06088004074449,-12.274901436447475,
0.001625,-6.541104503292182,-9.756606262596387,-12.021363911699616,-12.232950822584385,
0.0016666666666666666,-6.537113420097079,-9.736632496408419,-11.981236942657405,-12.190394461401015,
0.0017083333333333332,-6.533032114913626,-9.716287975086017,-11.940548441887874,-12.147260671478655,
0.00175,-6.5288647303824865,-9.695581224172797,-11.899308474907325,-12.10357650136848,
0.0017916666666666667,-6.524609725977008,-9.674512264931574,-11.857562677724243,-12.059362809521764,
0.0018333333333333333,-6.520267138056386,-9.653115572378406,-11.815316444168971,-12.014651293831285,
0.001875,-6.515838884591024,-9.63137380327063,-11.772596568165723,-11.969466967456807,
0.0019166666666666666,-6.511323737713342,-9.609304089255728,-11.729427373965752,-11.923822878117855,
0.001958333333333333,-6.506727754649484,-9.586916398119179,-11.685839472645402,-11.877771070204226,
0.002,-6.502047210384938,-9.564218278403894,-11.641843596625542,-11.83130595966331,
0.0020416666666666665,-6.497285797908186,-9.541220582883831,-11.597471823822112,-11.78450045161071,
0.0020833333333333333,-6.492441429094498,-9.51792700455602,-11.552737537707001,-11.737286238088313,
0.0021249999999999997,-6.487517283890176,-9.494346304343827,-11.507673487059824,-11.6897658423572,
0.0021666666666666666,-6.482512993595314,-9.470514481858261,-11.462284601157705,-11.641940052701173,
0.0022083333333333334,-6.477434864267152,-9.44638478736672,-11.416604128084234,-11.593827704613226,
0.00225,-6.4722726505682076,-9.42200945423614,-11.370647747219797,-11.545447156658856,
0.0022916666666666667,-6.467037612239647,-9.397385536118597,-11.324436564046428,-11.496830582170164,
0.002333333333333333,-6.461726838058505,-9.37252098952343,-11.277992201447518,-11.447995073082183,
0.002375,-6.456341688949291,-9.347427413984853,-11.231326151679559,-11.398940772883027,
0.002416666666666667,-6.450883275216763,-9.322107026137482,-11.184460883113125,-11.349710539068028,
0.002458333333333333,-6.445352419399526,-9.296573003082349,-11.137416865328099,-11.300316391733748,
0.0025,-6.439750744935996,-9.270832757291211,-11.090209922747913,-11.250775520131878,
0.0025416666666666665,-6.434072589686737,-9.244894302930454,-11.042856741846798,-11.201106611189628,
0.0025833333333333333,-6.428337234621376,-9.218779546013844,-10.995372646156031,-11.151327047638492,
0.0026249999999999997,-6.422522157395171,-9.19245657222607,-10.947778566504327,-11.101453228312153,
0.0026666666666666666,-6.416651621243751,-9.165967497166651,-10.900086104839247,-11.05150148382901,
0.0027083333333333334,-6.4107093224927265,-9.139324797781947,-10.852311747456495,-11.001499702566948,
0.00275,-6.404708494617253,-9.112518456454298,-10.804471020510153,-10.951431214554932,
0.0027916666666666667,-6.398632178130471,-9.08555769111729,-10.756576795749627,-10.90134258217178,
