rho,25,100,300,900
-1.0,-2.465065822743575,-4.037815546560916,-8.147283710248532,-12.911324567595518
-0.783,-3.0004701025070295,-4.5862280618632845,-8.69725617003928,-13.46130819298996
-0.589,-3.188232464494021,-4.778131851715076,-8.889655199122268,-13.65370883694849
-0.262,-3.5247930642546477,-5.1211774409076725,-9.23347841649783,-13.997537593571234
0.204,-4.38064347261789,-5.990299432635069,-10.104177113358737,-14.868250146639026
0.498,-5.552785243576544,-7.175423753272073,-11.290833320182545,-16.05492319404535
0.874,-10.130571866264424,-11.772306148493453,-15.8899577027271,-20.654063240382065
0.968,-14.02749794485333,-15.671732430176748,-19.789671333882662,-24.553779064245056
0.992,-16.10555706461164,-17.750100266135767,-21.868078496210085,-26.632186416257625
0.998,-16.831283625290236,-18.475881235266467,-22.593866656883094,-27.357974911099298
1.0,-17.103068243099898,-18.747681848457248,-22.86566990708213,-27.629774327863373
