tau,0.498,0.874,0.992,1.0,n0s0
0.0,-15.0354,-19.1671,-23.5344,-24.1754,-11.8
0.0005,-14.6603,-18.0393,-21.1215,-21.5422,
0.001,-14.6379,-18.0858,-19.3634,-20.4411,
0.002,-14.5762,-17.7797,-18.1471,-19.2951,
0.003,-13.9846,-15.1289,-17.8014,-16.9824,
