corr,0.36,0.95,1.8
0.0,0.16747,0.47563,0.66323
0.175,0.19219,0.35995,0.52197
0.5,0.15366,0.28981,0.45146
0.76,0.113864,0.16599,0.2266
0.85,,,0.14417
0.91,0.078854,0.083992,0.089608
0.95,0.049859,0.059287,
0.97,0.029981,,
